Date,Open,High,Low,Close,Volume
"Aug 5, 2021",152.28,153.69,152.01,153.15,"9,151,499"
"Aug 6, 2021",155.19,157.82,155.11,157.5,"13,328,750"
"Aug 9, 2021",157.52,158.55,155.9,157.33,"9,516,867"
"Aug 10, 2021",156.74,159.98,156.31,159.26,"8,666,998"
"Aug 11, 2021",160,161.5,159.08,161.16,"9,156,458"
"Aug 12, 2021",161.88,162.37,160.55,161.79,"8,849,610"
"Aug 13, 2021",161.79,162.16,159.57,159.98,"8,980,903"
"Aug 16, 2021",158.94,159.03,156.78,158.93,"8,759,767"
"Aug 17, 2021",157.57,158.86,155.27,157.01,"9,347,213"
"Aug 18, 2021",156.31,158.01,155.34,155.58,"8,065,493"
"Aug 19, 2021",153.16,155.56,153.01,154.28,"9,517,737"
"Aug 20, 2021",154.35,154.9,153.16,154.72,"6,974,102"
"Aug 23, 2021",155.33,157.09,155.24,156.7,"7,934,587"
"Aug 24, 2021",157,158.55,156.87,157.67,"7,670,925"
"Aug 25, 2021",158.51,161.78,157.8,160.92,"11,335,040"
"Aug 26, 2021",162.26,163.83,161.15,161.75,"11,027,451"
"Aug 27, 2021",161.75,163.16,161.26,163.05,"8,780,185"
"Aug 30, 2021",163.21,163.49,159.88,160.44,"7,937,561"
"Aug 31, 2021",160.44,161.37,159.35,159.95,"12,340,838"
"Sep 1, 2021",160.22,160.76,158.97,159.72,"8,729,920"
"Sep 2, 2021",160.02,161.61,159.43,160.46,"8,815,634"
"Sep 3, 2021",160.39,160.89,159.15,159.49,"7,961,223"
"Sep 7, 2021",159.99,161.38,158.96,159.21,"9,290,968"
"Sep 8, 2021",158.89,159.58,158.04,158.5,"7,852,678"
"Sep 9, 2021",158.27,160.83,158.08,159.19,"7,904,256"
"Sep 10, 2021",160.56,160.72,157.22,157.36,"8,311,551"
"Sep 13, 2021",158.53,160.05,158.07,159.86,"10,052,807"
"Sep 14, 2021",160.45,161.34,156.26,157.07,"11,685,606"
"Sep 15, 2021",156.72,158.69,156.47,158.16,"11,691,485"
"Sep 16, 2021",159.41,160.85,157.22,158.09,"10,880,895"
"Sep 17, 2021",157.38,159.01,157,157.68,"25,608,018"
"Sep 20, 2021",153.89,154.56,150.49,152.96,"15,819,905"
"Sep 21, 2021",153.53,154.55,152.58,152.98,"8,999,860"
"Sep 22, 2021",155.2,157.25,155.1,155.91,"11,236,150"
"Sep 23, 2021",158,161.71,157.67,161.18,"12,336,136"
"Sep 24, 2021",161.44,163.59,160.82,163.04,"10,102,432"
"Sep 27, 2021",165,167.4,164.61,166.98,"13,220,871"
"Sep 28, 2021",167.7,169.3,165.66,166.08,"13,387,886"
"Sep 29, 2021",166.21,166.9,165.04,165.95,"7,777,078"
"Sep 30, 2021",166.92,166.99,162.79,163.69,"13,168,016"
"Oct 1, 2021",164,168.3,163.6,167.13,"11,284,976"
"Oct 4, 2021",166.97,170.44,165.73,166.95,"14,120,044"
"Oct 5, 2021",167.21,170.14,166.67,168.66,"12,292,877"
"Oct 6, 2021",167.99,169.1,166,169.02,"8,692,607"
"Oct 7, 2021",171.2,171.51,169.54,170.09,"10,195,443"
"Oct 8, 2021",170.02,171.34,169.3,170.22,"8,190,144"
"Oct 11, 2021",170.8,171.29,166.46,166.64,"12,154,737"
"Oct 12, 2021",165.75,166.69,164.77,165.36,"13,032,633"
"Oct 13, 2021",164.07,165.41,160.6,161,"22,753,485"
"Oct 14, 2021",161.75,164.01,160.06,163.47,"15,180,727"
"Oct 15, 2021",165.35,167.17,164.14,166.61,"14,267,441"
"Oct 18, 2021",166.48,168.61,165.91,166.55,"12,672,909"
"Oct 19, 2021",167.4,168.65,166.58,168.57,"8,053,949"
"Oct 20, 2021",168.3,170.87,167.46,170.84,"8,185,565"
"Oct 21, 2021",170.76,171.33,168.68,169.5,"8,415,166"
"Oct 22, 2021",170.03,172.09,169.7,171.78,"8,817,895"
"Oct 25, 2021",172.71,172.96,170.48,170.94,"10,159,202"
"Oct 26, 2021",171,172.49,170.54,171.4,"8,015,067"
"Oct 27, 2021",170.32,170.7,167.34,167.83,"9,846,993"
"Oct 28, 2021",168.3,170.51,167.96,170.36,"7,212,937"
"Oct 29, 2021",171.18,172.24,169.39,169.89,"8,140,070"
"Nov 1, 2021",172.04,172.33,169.01,169.8,"7,435,507"
"Nov 2, 2021",169.8,171.69,168.92,170.47,"7,173,754"
"Nov 3, 2021",170.13,171.13,169.15,170.53,"8,402,685"
"Nov 4, 2021",170,170.2,166.49,168.29,"9,574,152"
"Nov 5, 2021",168.9,170.09,167.41,168.05,"7,975,570"
"Nov 8, 2021",169.05,170.92,168.74,169.06,"6,413,707"
"Nov 9, 2021",169.05,170.92,168.74,169.06,"61,316"
"Nov 10, 2021",167.45,168.95,167.09,167.62,"6,999,214"
"Nov 11, 2021",167.52,168.68,166.9,167.61,"5,815,267"
"Nov 12, 2021",167.65,167.74,165.72,166.86,"8,113,441"
"Nov 15, 2021",167.21,167.79,166,166.56,"6,492,463"
"Nov 16, 2021",167.06,167.07,165.12,165.36,"9,706,145"
"Nov 17, 2021",165.21,165.56,163.39,164.47,"9,909,576"
"Nov 18, 2021",164.39,164.85,162.56,163.05,"8,123,567"
"Nov 19, 2021",161.3,162.11,159.45,160.92,"12,193,634"
"Nov 22, 2021",164.16,165.98,162.99,164.35,"14,551,672"
"Nov 23, 2021",165.5,168.56,165.37,168.28,"12,362,344"
"Nov 24, 2021",168.46,169.44,166.44,166.96,"9,629,790"
"Nov 26, 2021",162.14,162.65,158.82,161.93,"13,619,276"
"Nov 29, 2021",163.31,164.78,159.82,161.23,"12,104,369"
"Nov 30, 2021",159.16,160.63,158.29,158.83,"18,922,616"
"Dec 1, 2021",161,163.27,157.8,157.89,"12,258,685"
"Dec 2, 2021",159.83,163.25,158.8,161.21,"12,969,926"
"Dec 3, 2021",161.5,161.83,157.19,158.29,"12,681,765"
"Dec 6, 2021",161.01,162.61,159.46,160.16,"11,186,493"
"Dec 7, 2021",161.88,163.39,161.16,162.57,"9,851,554"
"Dec 8, 2021",162.66,163.27,160.17,160.71,"11,705,673"
"Dec 9, 2021",159.65,160.93,158.65,160.46,"11,189,642"
"Dec 10, 2021",161.32,161.7,159.13,159.82,"10,405,374"
"Dec 13, 2021",159.5,159.79,157.28,157.92,"12,068,987"
"Dec 14, 2021",157.45,160.89,157.3,159.13,"12,563,560"
"Dec 15, 2021",159.85,159.85,157.35,157.94,"14,014,167"
"Dec 16, 2021",160.39,161.82,158.7,160.41,"19,542,759"
"Dec 17, 2021",159.32,159.38,155.18,156.76,"28,138,027"
"Dec 20, 2021",154.51,154.7,151.84,153.94,"15,147,982"
"Dec 21, 2021",155.41,157.18,155.09,156.09,"11,291,338"
"Dec 22, 2021",155.75,157.06,155.24,156.7,"7,272,989"
"Dec 23, 2021",157.61,159.12,157.21,157.26,"8,055,154"
"Dec 27, 2021",157.6,158.2,156.34,158.16,"6,189,234"
"Dec 28, 2021",158.2,160.15,158.08,158.64,"6,342,743"
"Dec 29, 2021",158.85,159.63,158.15,158.56,"6,398,927"
"Dec 30, 2021",159.11,160.24,158.37,158.48,"6,948,171"
"Dec 31, 2021",158.45,159.29,157.96,158.35,"5,805,902"
"Jan 3, 2022",159.86,162.64,159.51,161.7,"13,128,118"
"Jan 4, 2022",164.31,168.58,164.23,167.83,"20,195,802"
"Jan 5, 2022",167.82,168.36,163.73,163.78,"17,539,410"
"Jan 6, 2022",166.91,167.37,163.87,165.52,"14,047,498"
"Jan 7, 2022",165.67,167.53,165.06,167.16,"13,913,345"
"Jan 10, 2022",169.07,169.31,165.53,167.32,"12,922,455"
"Jan 11, 2022",168.26,168.52,166.31,167.49,"11,854,115"
"Jan 12, 2022",168.46,169.59,167.18,168.44,"12,568,011"
"Jan 13, 2022",168.34,169.81,167.89,168.23,"13,623,418"
"Jan 14, 2022",160.76,161.03,156.9,157.89,"40,158,362"
"Jan 18, 2022",155.78,155.78,150.54,151.27,"32,348,432"
"Jan 19, 2022",151.57,152.23,148.55,148.93,"22,380,026"
"Jan 20, 2022",148.99,150.61,147.36,147.66,"14,860,843"
"Jan 21, 2022",147.5,147.51,144.27,145.08,"20,705,401"
"Jan 24, 2022",142.28,145.48,139.57,144.95,"28,503,121"
"Jan 25, 2022",143.65,146.85,140.79,146.53,"18,915,869"
"Jan 26, 2022",148.72,150.57,145.96,147.92,"20,709,097"
"Jan 27, 2022",149.42,150.38,144.13,145.31,"17,544,523"
"Jan 28, 2022",144.19,146.76,142.17,146.61,"14,116,969"
"Jan 31, 2022",145.64,148.79,144.67,148.6,"13,985,745"
"Feb 1, 2022",148.69,151.47,148.3,151.15,"14,584,935"
"Feb 2, 2022",150.5,150.94,148.07,149.94,"12,441,136"
"Feb 3, 2022",150,151.65,148.29,148.7,"12,474,882"
"Feb 4, 2022",149.1,153.5,148.77,152.56,"16,654,409"
"Feb 7, 2022",153.27,153.62,150.85,153.07,"12,572,283"
"Feb 8, 2022",155,158.48,154.8,155.95,"20,411,387"
"Feb 9, 2022",156.59,157.43,155.82,156.6,"9,131,135"
"Feb 10, 2022",156.66,159.03,155.22,155.95,"16,455,635"
"Feb 11, 2022",155.61,158.19,152.97,153.92,"16,830,005"
"Feb 14, 2022",152.73,153.68,150.32,152.49,"17,026,491"
"Feb 15, 2022",154.51,155.94,153.85,154.72,"9,500,867"
"Feb 16, 2022",153.74,156.1,153.74,155,"9,076,526"
"Feb 17, 2022",153,153.73,150.67,151.43,"11,367,457"
"Feb 18, 2022",152.13,154.14,151.13,152.14,"11,733,315"
"Feb 22, 2022",150.6,153.24,150.41,151.87,"11,333,475"
"Feb 23, 2022",153.12,153.3,147.97,148.69,"11,799,031"
"Feb 24, 2022",142.94,144.99,139.78,144.55,"25,655,100"
"Feb 25, 2022",145.25,150.13,144.91,147.97,"18,367,679"
"Feb 28, 2022",143.55,145.06,140.88,141.8,"31,315,344"
"Mar 1, 2022",140.04,140.48,133.58,136.45,"36,840,448"
"Mar 2, 2022",137.29,140.04,136.61,139.28,"19,405,581"
"Mar 3, 2022",139.84,140.98,137.06,138.29,"16,640,804"
"Mar 4, 2022",134.94,135.42,132.4,134.4,"21,020,675"
"Mar 7, 2022",132.17,132.69,128.95,129.21,"27,560,052"
"Mar 8, 2022",129.64,131.79,127.27,128.3,"19,207,816"
"Mar 9, 2022",132.9,135.24,132.44,133.44,"17,536,202"
"Mar 10, 2022",131.86,133.45,130.32,131.86,"15,604,247"
"Mar 11, 2022",132.49,134.08,128.42,128.89,"20,061,789"
"Mar 14, 2022",129.46,132.92,129.23,130.17,"15,786,898"
"Mar 15, 2022",131.8,133.55,131.13,132.48,"15,096,604"
"Mar 16, 2022",134.87,138.49,134.43,138.4,"20,354,896"
"Mar 17, 2022",136.86,140.19,135.92,140.15,"17,050,454"
"Mar 18, 2022",140.19,140.85,138.46,140.1,"23,656,519"
"Mar 21, 2022",140.35,140.76,138.73,139.65,"12,676,051"
"Mar 22, 2022",142.27,143.93,141.72,142.62,"13,548,587"
"Mar 23, 2022",140.98,141.59,139.2,139.78,"12,093,218"
"Mar 24, 2022",140.3,140.71,139.11,140.69,"10,017,625"
"Mar 25, 2022",141.09,143.18,140.8,141.92,"8,386,416"
"Mar 28, 2022",140,140.97,137.9,140.87,"10,818,077"
"Mar 29, 2022",143.35,143.6,140.24,141.18,"11,316,503"
"Mar 30, 2022",141.9,142.12,139.91,140.54,"8,771,027"
"Mar 31, 2022",139.83,140.35,136.26,136.32,"17,353,942"
"Apr 1, 2022",137.4,137.41,133.8,135.31,"15,721,297"
"Apr 4, 2022",134.12,136.94,132.89,135.91,"17,422,937"
"Apr 5, 2022",134.07,135.4,133.01,133.34,"12,110,267"
"Apr 6, 2022",131.58,132.56,130.96,131.49,"12,914,733"
"Apr 7, 2022",130.95,131.92,128.73,131.09,"12,994,231"
"Apr 8, 2022",131.67,133.9,131.49,133.49,"13,126,938"
"Apr 11, 2022",133,134.9,132.57,133,"10,466,429"
"Apr 12, 2022",132.14,134.58,130.7,131.54,"12,989,862"
"Apr 13, 2022",126.94,129.25,126.01,127.3,"30,838,027"
"Apr 14, 2022",126.5,128.3,125.02,126.12,"18,835,190"
"Apr 18, 2022",125.67,129.24,125.54,128.46,"11,834,444"
"Apr 19, 2022",128.45,131.32,128.23,131.12,"15,015,448"
"Apr 20, 2022",132.52,133.51,131.34,131.58,"13,430,189"
"Apr 21, 2022",132.22,132.81,129.96,130.56,"12,174,182"
"Apr 22, 2022",130.28,130.52,126.69,126.81,"14,318,842"
"Apr 25, 2022",126.01,127.12,123.11,126.77,"17,149,031"
"Apr 26, 2022",124.64,126.41,122.87,123.02,"17,209,535"
"Apr 27, 2022",122.33,123.56,121.22,121.42,"17,215,247"
"Apr 28, 2022",122.81,123.65,121.14,123.34,"13,019,941"
"Apr 29, 2022",123.05,123.61,118.9,119.36,"14,874,811"
"May 2, 2022",119.88,120.71,118.22,120.45,"18,544,958"
"May 3, 2022",121.53,124.17,120.78,123.03,"15,720,935"
"May 4, 2022",122.8,127.4,122.74,127.1,"17,128,535"
"May 5, 2022",125.25,126.1,122.16,123.92,"15,055,401"
"May 6, 2022",123.8,124.29,121.18,123.72,"14,417,942"
"May 9, 2022",122.11,123.33,120.5,121.86,"14,312,300"
"May 10, 2022",123.11,123.78,117.56,118.89,"16,382,441"
"May 11, 2022",119.3,122.89,117.94,118.14,"14,630,299"
"May 12, 2022",117,118.32,115.37,118.04,"16,318,801"
"May 13, 2022",119.41,120.25,117.96,119.09,"10,443,203"
"May 16, 2022",118.54,119.46,117.23,118.26,"10,269,025"
"May 17, 2022",121.04,122.97,120.81,122.18,"11,160,151"
"May 18, 2022",121.3,121.97,119.53,120.09,"12,664,912"
"May 19, 2022",118.19,119.65,117.63,118.31,"12,765,769"
"May 20, 2022",119.46,119.67,115.02,117.34,"13,150,099"
"May 23, 2022",120.46,126.57,120.45,124.6,"24,376,725"
"May 24, 2022",124.36,127.49,123.11,126.36,"19,324,922"
"May 25, 2022",126.28,127.86,125.17,127.24,"12,780,385"
"May 26, 2022",128.37,130.19,128.21,129.44,"15,990,944"
"May 27, 2022",130.16,131.27,129.14,131.27,"11,177,759"
"May 31, 2022",130.18,133.15,129.71,132.23,"17,015,042"
"Jun 1, 2022",132.87,132.87,128.67,129.91,"10,768,023"
"Jun 2, 2022",129.9,132.01,128.67,132,"8,374,794"
"Jun 3, 2022",131.21,131.77,129.99,130.16,"8,596,022"
"Jun 6, 2022",131.09,132.39,129.46,129.73,"11,323,459"
"Jun 7, 2022",128.83,130.32,128.62,130.07,"6,722,167"
"Jun 8, 2022",129,129.45,126.9,128,"8,422,110"
"Jun 9, 2022",127.37,128.1,125.27,125.31,"13,565,478"
"Jun 10, 2022",122.59,123.4,119.32,119.55,"12,951,760"
"Jun 13, 2022",116.86,117.95,115.06,115.99,"16,805,564"
"Jun 14, 2022",115.55,117.32,113.22,114.06,"13,357,912"
"Jun 15, 2022",115.62,116.95,113.17,115.41,"14,083,548"
"Jun 16, 2022",113.86,114.26,111.87,113.43,"16,724,855"
"Jun 17, 2022",113.54,114.63,112.16,113.03,"30,919,865"
"Jun 21, 2022",116,117.03,115.04,115.83,"11,680,485"
"Jun 22, 2022",114.88,116.2,114.39,115.18,"9,848,572"
"Jun 23, 2022",115.01,115.18,111.48,113.92,"11,851,541"
"Jun 24, 2022",113.23,117.82,112.83,117.32,"14,841,090"
"Jun 27, 2022",118.06,118.5,115.64,116.38,"11,280,485"
"Jun 28, 2022",117.67,119.29,115.6,115.82,"11,615,519"
"Jun 29, 2022",116,116.82,114.73,115.3,"9,338,432"
"Jun 30, 2022",113.17,114.08,110.93,112.61,"15,172,611"
"Jul 1, 2022",112.65,114.42,111.16,114.05,"10,573,577"
"Jul 5, 2022",110.77,112.71,109.3,112.62,"12,515,590"
"Jul 6, 2022",111.73,112.99,110.79,111.89,"10,656,197"
"Jul 7, 2022",113.5,114.9,113.4,114.72,"10,347,385"
"Jul 8, 2022",115.16,115.65,113.61,114.36,"8,807,840"
"Jul 11, 2022",113.55,114.23,112.22,112.86,"7,944,573"
"Jul 12, 2022",112.58,115.18,112.26,112.97,"11,250,917"
"Jul 13, 2022",111.75,112.48,110.38,111.91,"12,979,883"
"Jul 14, 2022",107.99,108.23,106.06,108,"26,204,846"
"Jul 15, 2022",109.16,113.88,107.67,112.95,"18,863,886"
"Jul 18, 2022",114.77,115.84,111.29,111.79,"13,977,903"
"Jul 19, 2022",113.13,114.94,112.67,114.56,"11,862,269"
"Jul 20, 2022",114.1,114.74,113.48,114.54,"11,667,540"
"Jul 21, 2022",114.44,115.53,113.37,115.32,"11,595,860"
"Jul 22, 2022",115.24,116.25,113.67,114.76,"7,645,542"
"Jul 25, 2022",115.84,116.46,114.77,115.22,"9,394,033"
"Jul 26, 2022",114.58,115.58,113.03,113.42,"10,675,119"
"Jul 27, 2022",114.01,115.74,113.3,115.24,"9,274,454"
"Jul 28, 2022",115.25,115.98,113.53,114.81,"10,384,770"
"Jul 29, 2022",115.59,116.5,114.79,115.36,"12,944,544"
"Aug 1, 2022",114.5,115.11,113.07,114.21,"14,740,406"
"Aug 2, 2022",113.92,114.4,112.27,112.43,"14,942,854"
"Aug 3, 2022",113.45,114.1,111.71,113.61,"14,394,499"
"Aug 4, 2022",112.85,113.32,111.02,112.36,"17,908,938"